full_name,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_opagatekeeper
WeStart-ASP-NETCOREAngular/MohamedAlQadeery,False,True,False,False,False,False,False,False
WhCollar/SneilBeeHackathon,False,True,False,False,False,False,False,False
WhatsARanjit/terraform-k8s-pvc,False,True,False,False,False,False,False,False
WhiteRedDragons/Map-Labs-Momentum-PBR,False,True,False,False,False,False,False,False
Whitebamboo/Round1,False,True,False,False,False,False,False,False
WillianSampaio/ExoApi,False,True,False,False,False,False,False,False
X-oss-byte/Fleet,True,False,False,False,False,False,False,False
X3rtM/Sankey-Arise,False,True,False,False,False,False,False,False
XKH-KHEA/ERPc,False,True,False,False,False,False,False,False
XavierAibar/servidor,False,True,False,False,False,False,False,False
XmyriyCat/API-3-layer-example,False,True,False,False,False,False,False,False
XoTaBuCh/IGI,False,True,False,False,False,False,False,False
XuananLe/RealtimeChat,False,True,False,False,False,False,False,False
Xyzyx101/HydroelectricStation,False,True,False,False,False,False,False,False
YGSilva/Clean-Architecture,False,True,False,False,False,False,False,False
YOURIxYOURI/school_garbage,False,True,False,False,False,False,False,False
YasserManouzi/GestionDesStages,False,True,False,False,False,False,False,False
Yentheee/opa-cyber-sec-adv,True,False,False,False,False,False,False,False
YicunDuanUMich/iac_dataset,True,False,False,False,False,False,False,False
YilmazTasdelen/Inventory-Service-Azure-App-Service,False,True,False,False,False,False,False,False
Yoosuke/todoApp,False,True,False,False,False,False,False,False
Yoshitaira/Atividades,False,True,False,False,False,False,False,False
YounesseELH/ecommerce,False,True,False,False,False,False,False,False
Youngfundish/systemIntegration,False,True,False,False,False,False,False,False
Yunilda09/AP1_Yunilda,False,True,False,False,False,False,False,False
Yunilda09/githutBlazor,False,True,False,False,False,False,False,False
YuriGochi/ubc_prova,False,True,False,False,False,False,False,False
Yusuf1404/Webdock_Backend,False,True,False,False,False,False,False,False
YuvalWeiss1403/FindHashedPassword,False,True,False,False,False,False,False,False
YuxinLiu076/git-example,False,True,False,False,False,False,False,False
ZANDOMANDO/Upmeet-Event-System-BE,False,True,False,False,False,False,False,False
ZabitTank/ServerB,False,True,False,False,False,False,False,False
