full_name,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_opagatekeeper,contributors_count
dawright22/workshop-google,False,True,False,False,False,False,False,False,1
dawwidd/dawiwiwidd,False,True,False,False,False,False,False,False,1
dbdizk/bank-project,False,True,False,False,False,False,False,False,2
ddang8-jpeg/HL2_Visual_Field,False,True,False,False,False,False,False,False,2
de-marauder/terraform-gke,False,True,False,False,False,False,False,False,1
deaaAldeen45112/request-recipes-system,False,True,False,False,False,False,False,False,1
deanhouaripower/TF-sentinel-lab,False,True,False,False,False,False,False,False,2
debianmaster/opa-examples,True,False,False,False,False,False,False,False,2
debugieman/TA_Framework,False,True,False,False,False,False,False,False,1
decombine/slc,True,False,False,False,False,False,False,False,1
deepakrajkranti/Inventory-Microservices,False,True,False,False,False,False,False,False,1
deepin-community/python-redis,False,True,False,False,False,False,False,False,5
defenseunicorns/lula,True,False,False,False,False,False,False,False,24
delicmomcilo/YTSummarizer,False,True,False,False,False,False,False,False,2
deliveryhero/helm-charts,True,False,False,False,False,False,False,False,180
dell/helm-charts,True,False,False,False,False,False,False,False,40
dell/karavi-authorization,True,False,False,False,False,False,False,False,42
delso-ferreira/Bet_API,False,True,False,False,False,False,False,False,2
demojen/final,False,True,False,False,False,False,False,False,1
demoland/sentinel-policies,False,True,False,False,False,False,False,False,2
denisams/MinimalApiAuth,False,True,False,False,False,False,False,False,1
denizdemirkan/blogden,False,True,False,False,False,False,False,False,2
dettanym/prose,True,False,False,False,False,False,False,False,3
dev-forhad/jenkins-git-netcore,False,True,False,False,False,False,False,False,1
dev25shg/sitioplatzi,False,True,False,False,False,False,False,False,1
developer-guy/container-image-sign-and-verify-with-cosign-and-opa,True,False,False,False,False,False,False,False,2
devesh2511/Csharp-Training,False,True,False,False,False,False,False,False,1
devmustafaulutas/WebApi,False,True,False,False,False,False,False,False,1
devops-adeel/terraform-cisco-aci-tenant,False,True,False,False,False,False,False,False,3
devops-adeel/terraform-k8s-namespace,False,True,False,False,False,False,False,False,2
devops-adeel/terraform-mongodb-cluster,False,True,False,False,False,False,False,False,3
devops-adeel/terraform-tfc-workspace,False,True,False,False,False,False,False,False,3
devops-adeel/terraform-vault-auth-github,False,True,False,False,False,False,False,False,3
devops-adeel/terraform-vault-secrets-transit,False,True,False,False,False,False,False,False,3
devopsmayur/gcppolicy,False,True,False,False,False,False,False,False,1
devspace-cloud/devspace-cloud,True,False,False,False,False,False,False,False,6
dfds/dojo,False,True,False,False,False,False,False,False,27
dgkirkwood/sentinel-azure-challenge,False,True,False,False,False,False,False,False,1
dgkirkwood/sentinel-cost-policy,False,True,False,False,False,False,False,False,2
dgreeninger/terraform-cdk-gke-python,False,True,False,False,False,False,False,False,1
dhakerbadri/Heroes,False,True,False,False,False,False,False,False,1
dhaval2208/dhaval2208,False,True,False,False,False,False,False,False,1
dhiraj-kadam/tf-sentinal,False,True,False,False,False,False,False,False,1
dhunganabibek/AzureAuthentication,False,True,False,False,False,False,False,False,1
dhunganabibek/azure-ci-cd,False,True,False,False,False,False,False,False,1
diazlisbeh/image-uploader,False,True,False,False,False,False,False,False,1
didito33/SoftUniCourses,False,True,False,False,False,False,False,False,1
didourebai/HealthcareApp,False,True,False,False,False,False,False,False,1
diegoalbanovoa/IdentityProvaider.Api,False,True,False,False,False,False,False,False,1
diegobrl/insomniacrud-api,False,True,False,False,False,False,False,False,1
diegopacheco/devops-playground,True,False,False,False,False,False,False,False,1
differenzierbar/flux-github-actions,True,False,False,False,False,False,False,False,2
diggerhq/mgmt-repo-one,True,False,False,False,False,False,False,False,2
diggerhq/policy-examples,True,False,False,False,False,False,False,False,1
dikshasunbird/sunbird-devops,True,False,False,False,False,False,False,False,2
dilmerv/MRTKFundamentals,False,True,False,False,False,False,False,False,1
dilmerv/MRTKOculusQuest2VoiceTranslator,False,True,False,False,False,False,False,False,1
dilmerv/UnityMRTKMagicLeap,False,True,False,False,False,False,False,False,1
dinhanhhuy/tfc-general-sentinel-policies,False,True,False,False,False,False,False,False,2
dinhtnguyenn/Send-Mail-With-Template-Or-File-Attachment-ASPNetCore,False,True,False,False,False,False,False,False,1
dio/envoy-lua-opa,True,False,False,False,False,False,False,False,1
dippynark/gatekeeper-constraints,True,False,False,False,False,False,False,False,2
dirien/terraform-sentinel-openstack,False,True,False,False,False,False,False,False,2
djaneorr/CSE325,False,True,False,False,False,False,False,False,1
djesusnet/OnionArchitectureMinimalAPI,False,True,False,False,False,False,False,False,1
